timestamp(ms),set,PWM,temp_int,time_of_one_cycle,temp_delta,temp_i�>temp_int,time_of_me_of_one_cycle,
"1708895968.4","-30","8114","-30.02","82","-0.02",,,
"1708895968.401","-30","9466","-29.97","83","0.03",,,
"1708895968.402","-30","10431","-29.93","83","0.07",,,
"1708895968.403",,,"-29.88","83","0.12",,,
"1708895968.855","-30","11783","-29.94",,,,,
"1708895968.856","-30","10238","-30.02","82","0.06",,,
"1708895968.857","-30","8115","-30.02",,"-0.02",,,
"1708895968.858","-30","8115","-30.08","82","-0.02",,,
"1708895968.859","-30","6377",,"82","-0.08",,,
"1708895968.86","-30","7149","-30.05","82","-0.05",,,
"1708895968.861","-30",,"-30.1","82","-0.1",,,
"1708895968.862","-30","5991","-30.07","83","-0.07",,,
"1708895968.863",,"6570","-30.2","82","-0.2",,,
"1708895968.864","-30","3287","-30.07","82","-0.07",,,
"1708895968.865",,"6570","-29.95","82","0.05",,,
"1708895968.866","-30","10045","-30.06","82","-0.06",,,
"1708895968.867","-30","6956","-29.92","82","0.08",,,
"1708895968.868",,"10624","-30.02","82",,,,
"1708895968.875","-30",,,,"-0.02",,,
"1708895968.876","-30","8114","-30","83","0",,,
"1708895968.877","-30","8693","-29.93","82","0.07",,,
"1708895968.878",,"10431","-29.92","83","0.08",,,
"1708895968.879","-30","10624","-29.96","82",,,,
"1708895968.88","-30",,,,"0.04",,,
"1708895968.883",,"9659","-30",,,,,
"1708895968.884","-30","8501",,"82","0",,,
"1708895968.885",,,"-30.15","83",,,,
"1708895968.886","-30","4639",,,"-0.15",,,
"1708895968.887","-30",,"-30.03","83","-0.03",,,
"1708895968.888",,"7728","-29.99",,,,,
"1708895968.889","-30",,,"82","0.01",,,
"1708895968.89",,"8887","-30.04","82",,,,
"1708895968.891","-30","7535",,,"-0.04",,,
"1708895968.892",,,"-30.11","82","-0.11",,,
"1708895968.893","-30","5604",,,,,,
"1708895968.894",,,"-30.08","82",,,,
"1708895968.895","-30","6376",,,"-0.08",,,
"1708895968.896",,,"-30","82","0",,,
"1708895968.897","-30","8500",,,,,,
"1708895968.898",,,"-30.1",,,,,
"1708895968.899","-30",,,"82","-0.1",,,
"1708895968.9",,"5990","-29.89","82","0.11",,,
"1708895968.901","-30","11589","-30.05","82",,,,
"1708895968.902","-30","7342","-29.96","83","-0.05",,,
"1708895968.903","-30","9659","-30.05",,"0.04",,,
"1708895968.904","-30","7149",,"82","-0.05",,,
"1708895968.905","-30","10624","-29.92","83","0.08",,,
"1708895968.906","-30","11396","-29.9","83","0.1",,,
"1708895968.907","-30","10817","-29.92","83","0.08",,,
"1708895968.908","-30","10624","-30.04","82","0.08",,,
"1708895968.909","-30","7535","-29.94","82","-0.04",,,
"1708895968.91","-30","10238","-30","82","0.06",,,
"1708895968.911",,,,"83",,,,
"1708895968.912","-30","8694",,,"0",,,
"1708895968.913","-30",,"-30.02","82","-0.02",,,
"1708895968.914","-30","8114","-30.09","82","-0.09",,,
"1708895968.915","-30","6184","-30.06","82","-0.06",,,
"1708895968.916","-30","6956","-30.11","82","-0.11",,,
"1708895968.917","-30","5604","-30.02","82","-0.02",,,
"1708895968.918","-30","7921","-30.05","83","-0.05",,,
"1708895968.919","-30","7149","-30.08","82","-0.08",,,
"1708895968.92",,"6376","-30.02","82","-0.02",,,
"1708895969.368","-30",,,,,,,
"1708895969.369",,"7921","-30.02","82",,,,
"1708895969.37",,,,,"-0.02",,,
"1708895969.371","-30",,,,,,,
"1708895969.372",,"8114",,,,,,
"1708895969.373",,,"-29.97","83",,,,
"1708895969.374",,,,,"0.03",,,
"1708895969.375","-30","9465",,,,,,
"1708895969.376",,,"-29.92",,,,,
"1708895969.377",,,,"82","0.08",,,
"1708895969.378","-30","10624",,,,,,
"1708895969.379",,,"-29.95",,,,,
"1708895969.38",,,,"83",,,,
"1708895969.382","-30",,,,"0.05",,,
"1708895969.383",,"10045","-29.98",,,,,
"1708895969.384",,,,"83",,,,
"1708895969.385",,,,,"0.02",,,
"1708895969.386","-30","9079",,,,,,
"1708895969.387",,,"-29.95",,,,,
"1708895969.388",,,,"83",,,,
"1708895969.389","-30",,,,"0.05",,,
"1708895969.39",,"9852","-29.97",,,,,
"1708895969.391",,,,"83","0.03",,,
"1708895969.392","-30","9466","-29.95",,,,,
"1708895969.393",,,,"82","0.05",,,
"1708895969.394","-30","9852","-30.09",,,,,
"1708895969.405","-30","6183",,"82","-0.09",,,
"1708895969.406",,,"-29.96","83","0.04",,,
"1708895969.407","-30","9659","-29.99","83","0.01",,,
"1708895969.408","-30","8886","-29.93","83",,,,
"1708895969.409","-30","10431","-29.95","83","0.07",,,
"1708895969.41","-30","9852","-30.13","82","-0.13",,,
"1708895969.411","-30","5025","-30.02","82","-0.02",,,
"1708895969.412","-30","5218","-30.05","83","-0.12",,,
"1708895969.413","-30","7149","-30.07","82","-0.05",,,
"1708895969.414","-30","6569","-30.06","83","-0.07",,,
"1708895969.415","-30","6955","-30.05","82","-0.05",,,
"1708895969.416","-30","7148","-30","83",,,,
"1708895969.417","-30","8693","-29.95","82","0",,,
"1708895969.418","-30","9851",,,"0.05",,,
"1708895969.421",,,"-29.93","83",,,,
"1708895969.422","-30","10431",,,"0.07",,,
"1708895969.423",,,"-29.96","83","0.04",,,
"1708895969.424","-30","9658","-30.01",,,,,
"1708895969.425",,,,"82","-0.01",,,
"1708895969.426","-30","8307","-30",,,,,
"1708895969.427",,,,"82","0",,,
"1708895969.428","-30","8500","-29.99",,,,,
"1708895969.429","-30",,,"83","0.01",,,
"1708895969.43",,"8886","-29.96",,,,,
"1708895969.431","-30",,,"83","0.04",,,
"1708895969.432",,"9658","-30.05",,,,,
"1708895969.433",,,,"82","-0.05",,,
"1708895969.434","-30","7149",,,,,,
"1708895969.435","-30",,"-30.12","82","-0.12",,,
"1708895969.436",,"5218",,,,,,
"1708895969.437",,,"-30.05","82",,,,
"1708895969.438","-30","7148","-30.07",,"-0.05",,,
"1708895969.439","-30","6762",,"82","-0.07",,,
"1708895969.44","-30",,"-30.18","83","-0.18",,,
"1708895969.441","-30","3673","-30.12","83","-0.12",,,
"1708895969.442",,"5410","-29.99","83","0.01",,,
"1708895969.443","-30","8886","-30.1","82","-0.1",,,
"1708895969.444","-30","5990","-30.07","82","-0.07",,,
"1708895969.445","-30","6569","-29.98","82","0.02",,,
"1708895969.447","-30","9079","-29.89","82",,,,
"1708895969.448","-30","11588","-29.89","83","0.11",,,
